p1, p2, p3, p4, p5, p6, p7, p8, p9, p10, p11, p12, p13, p14, p15, p16, p17, p18, p19, p20, label 
6.824298,8.490194,9.412433,8.330495,8.800098,7.032038,8.413944,9.081850,8.545995,8.601992,1.330194,5.681601,2.479772,3.353958,3.752797,3.202944,3.921369,4.061382,2.837391,4.020056,zero 
5.812582,6.361968,7.422183,7.244909,7.215172,6.481040,7.524333,7.400782,7.482801,7.472803,1.107460,5.816288,2.554419,2.668726,3.504426,2.719595,2.441960,3.534328,2.764303,3.203340,zero 
7.275098,8.960117,9.270386,9.480329,9.485540,8.575363,9.320661,9.294157,8.961878,9.008422,1.695668,6.735370,2.651000,3.048588,3.564808,3.011947,3.016101,4.533425,2.781445,4.082656,zero 
6.227826,9.539131,9.094821,8.938309,9.005907,7.732227,8.053275,8.888974,8.846787,9.130935,1.620545,5.699158,1.826991,2.025719,3.499192,3.015819,3.779422,4.708549,2.192967,3.628915,zero 
5.932136,8.695708,8.559120,8.198546,8.517042,7.345767,8.146582,8.174365,8.344699,8.515686,1.458919,5.453693,1.716925,1.692313,3.090207,2.435968,3.142191,4.348527,2.088944,3.138624,zero 
6.725137,8.428482,7.694540,8.364796,8.092583,7.699754,7.083414,8.213615,8.163898,8.085850,1.758173,5.450001,2.415794,2.117407,2.981964,2.646783,2.265715,4.003617,2.566215,3.364328,zero 
7.366251,7.366657,9.272639,9.693931,9.246504,8.020330,8.286212,8.831780,8.863164,8.882723,2.075304,7.410965,2.391064,3.663859,3.061663,4.126945,3.962640,3.684707,4.617314,3.761297,zero 
5.792941,7.715527,8.917255,8.386095,9.003599,7.676404,8.775645,8.295883,8.404090,8.720057,1.099357,6.792458,1.964211,2.376668,3.435394,2.803087,3.129964,4.209036,3.180431,3.215733,zero 
7.587604,8.329162,9.245532,10.187231,9.663299,9.505730,8.918426,8.941112,9.611169,8.986996,1.821366,7.383468,2.827705,3.024608,3.267304,2.534730,2.831250,3.494392,3.520419,4.199692,zero 
6.489434,6.383070,8.418299,8.229237,8.178845,7.151655,8.812301,7.621956,8.210767,7.974759,1.347351,6.681908,3.009590,3.526660,4.033468,3.240020,2.110912,4.029157,3.864046,3.810760,zero 
6.592627,7.273963,7.605740,7.638278,7.542061,6.163818,6.810234,7.163245,7.627568,7.250182,1.502174,4.133107,1.877694,2.210724,2.720957,2.367887,2.242617,4.254603,2.078632,3.697554,zero 
6.912507,6.587261,7.109206,6.841667,6.804004,5.420742,6.549054,6.420381,6.679669,6.471421,1.637584,3.793270,2.126057,2.153917,2.291811,2.667702,3.196036,2.690004,1.925548,2.571605,zero 
8.743442,6.203144,8.423960,8.452141,8.683678,8.521095,9.504507,7.870751,9.041724,8.378533,1.943128,7.221346,3.017283,3.563786,4.281602,2.897146,2.995349,5.138266,3.506625,4.989572,zero 
6.114508,7.636835,7.260369,7.046922,7.148321,6.111119,6.696736,7.139356,7.016841,6.989144,1.083570,4.538219,1.586700,1.674174,2.783699,2.344257,2.753161,3.686102,1.653684,3.072379,zero 
6.855518,7.094462,7.535236,7.583552,7.107312,6.878063,6.933336,6.813108,7.546242,6.921649,1.546342,5.391274,2.263345,1.902754,3.157550,2.115379,3.048177,3.489830,2.277370,3.094531,zero 
6.108869,8.271794,9.432444,8.676832,9.615044,8.089589,9.649320,9.032401,8.871423,9.310779,1.733573,7.065371,2.701253,3.589875,3.823035,3.192041,3.514921,4.150858,3.262127,3.671894,zero 
5.209736,8.381867,8.787273,8.868651,8.564092,7.884403,8.438578,8.894158,8.771697,8.782057,2.045753,7.066642,2.399167,2.628171,3.891427,3.051510,3.180832,3.997328,2.956299,3.199106,zero 
6.733358,9.265191,9.571249,8.702550,9.416014,7.835729,9.191481,9.806896,8.929679,9.546434,1.181262,6.594837,2.963529,3.753639,3.896702,3.303981,3.823940,4.188301,2.919766,3.686514,zero 
6.787798,7.450292,9.015637,8.311568,9.243674,8.445161,9.350643,8.912028,9.058505,9.378054,1.200245,7.762109,2.700552,3.604139,3.560980,3.146994,2.951798,3.223125,3.357294,2.916165,zero 
7.562981,7.415358,7.098315,7.798151,6.769642,6.505763,5.674702,6.754618,7.039990,6.754167,1.588329,3.994346,1.853904,1.812941,2.602257,2.656364,2.504070,3.489969,2.217201,3.039170,zero 
6.327775,7.928503,7.692793,7.455472,7.275584,6.226823,6.603747,7.570793,6.887837,7.191632,1.337131,5.039991,1.989760,1.713291,2.492728,2.547415,3.176057,2.991634,1.647826,2.645898,zero 
7.966035,8.063493,9.488828,10.101496,9.894126,9.741943,9.330566,8.926044,9.952795,9.517771,1.810264,7.931931,2.877267,3.405818,3.519325,2.806050,3.552283,3.668902,3.374529,4.222928,zero 
7.842061,5.660260,8.262275,8.634102,7.477034,6.977516,7.573686,7.469873,8.303445,7.821435,2.174974,6.514899,1.962836,2.923949,3.246650,3.686819,4.084291,3.520290,3.549897,3.578334,zero 
7.177676,5.805140,7.691838,7.913802,7.040151,6.828997,7.364094,6.586760,7.590020,6.721006,1.938044,6.050675,3.001484,3.965728,3.580117,3.578714,2.811364,3.873166,4.407118,4.199000,zero 
6.177306,8.232718,8.901674,8.561162,9.050505,7.750790,8.772133,9.067089,8.729229,9.372523,1.359226,6.561336,2.223512,2.945914,3.735745,3.007903,2.993147,4.618829,3.042125,3.462164,zero 
6.461584,8.917800,9.471727,9.881031,10.064789,8.991337,9.478503,10.133241,9.720299,10.228449,2.231204,7.556552,2.452945,3.295406,3.741051,3.280702,3.433510,4.598896,3.514836,4.125174,zero 
6.300246,7.667270,8.267762,7.891176,9.092191,7.877793,8.715299,9.051180,8.468499,9.444276,1.367601,6.546347,2.159567,2.474512,3.238559,2.691720,3.097661,3.837154,2.750126,3.115448,zero 
7.054325,8.713353,9.458433,9.673596,9.242233,8.472553,8.939557,9.144867,9.688189,9.487495,1.440191,6.914274,1.842672,2.407293,3.646382,3.090948,3.559003,4.574232,2.422532,3.933667,zero 
6.276712,8.849021,9.465832,9.435497,9.372170,8.126021,8.610843,9.258831,9.318370,9.539289,1.342570,6.981382,1.885083,2.275815,3.471585,3.108518,3.547688,4.743567,2.701362,3.512990,zero 
7.094909,8.033835,8.580666,9.173117,9.452722,8.726795,8.814569,8.832577,8.975465,9.981366,1.975877,7.068570,2.600707,2.897806,3.796433,3.307880,3.058139,5.139443,4.168563,3.834091,zero 
6.046422,9.269714,9.379645,9.446993,9.277268,8.575468,8.844669,9.069040,9.426437,9.273233,1.458187,6.897282,1.954730,2.313875,3.383570,2.628275,3.516666,4.705892,2.671461,3.540012,zero 
5.960147,8.776848,9.433170,9.807640,9.670624,8.494744,9.037397,9.304172,9.470573,9.677036,2.155114,7.324226,2.843274,2.870144,3.165441,2.775031,3.347262,3.577092,3.132525,3.117756,zero 
5.777914,7.796485,8.493814,8.410401,8.414195,6.915589,7.328002,8.756714,8.285610,8.489516,2.510540,6.586975,2.526714,3.237071,3.359511,3.791636,3.175344,3.787098,3.459272,3.848417,zero 
7.312677,9.076731,9.939001,8.825020,10.751539,8.778670,10.300687,9.678520,9.514493,10.444908,1.600588,7.221180,2.888798,3.783198,3.607516,3.373197,3.993142,3.912936,3.263620,3.286826,zero 
8.432274,7.491441,9.460502,9.391667,8.605055,8.135230,9.429208,8.174310,9.173839,7.832003,2.032398,7.094721,3.667924,3.481323,4.262438,3.009576,4.666333,4.620154,3.227198,5.169694,zero 
6.502813,8.013121,9.835826,9.581920,9.376997,8.801444,9.020149,9.157101,9.681116,9.257787,1.977961,8.245174,2.624364,3.411929,3.682460,3.121356,3.266567,3.889227,3.409081,3.817173,zero 
7.893035,9.391541,10.002813,9.795952,11.117345,10.023391,10.459807,9.978282,9.779387,10.764303,2.249693,8.269780,3.238701,3.439125,3.370611,3.507979,4.364212,3.686202,4.414584,3.083042,zero 
6.452834,8.484435,8.233606,8.429278,7.884400,7.141230,7.397709,7.875876,8.316276,8.038366,1.597196,5.387194,1.775684,1.735593,3.397997,2.811365,3.552515,4.386190,1.968812,3.495632,zero 
6.325938,8.005041,8.623427,8.302279,8.400845,7.388926,7.497905,8.502636,8.290788,8.444117,1.770791,5.936449,1.860142,1.973008,3.240727,2.815059,3.730644,4.364172,2.294635,3.333139,zero 
6.453726,7.490133,7.695544,6.886537,7.808504,6.758135,7.505934,7.825032,7.729639,7.970664,1.288172,5.270687,1.585392,1.528501,2.832186,2.062928,2.618320,3.554169,1.686406,2.972016,zero 
7.573620,7.919271,7.790304,6.642249,7.948498,7.104752,7.051753,7.801795,7.265612,7.364662,1.552449,4.568834,1.753906,1.788468,2.741082,2.090486,2.350552,3.548810,1.799481,3.309458,zero 
7.008390,9.804467,10.296514,10.439756,10.891840,9.834447,10.487532,10.816373,10.171126,10.595481,1.349949,8.035550,2.900665,3.997562,3.663458,3.090081,2.610685,3.602937,3.424536,3.944217,zero 
7.499345,9.522730,9.981562,10.602589,10.922930,9.682607,9.930439,10.703257,10.451782,10.729035,1.773243,8.250303,2.886537,4.117313,3.593353,3.555180,3.008736,4.727336,3.277873,4.262908,zero 
7.772848,7.657654,8.598535,8.956275,9.630424,9.093362,10.005186,9.021610,9.359374,9.457338,1.595837,7.306718,2.860011,2.892039,3.868889,2.645367,2.471916,4.801133,2.746437,4.488723,zero 
6.401839,8.380805,8.874344,8.874159,9.608217,8.322144,9.143093,9.476886,9.247205,9.701982,1.762990,7.191418,3.028622,3.845443,3.878795,3.441448,2.629925,4.803546,3.277933,4.082726,zero 
6.444694,8.750280,8.599638,8.450524,8.698423,8.097126,8.716493,8.431351,8.475950,8.292630,1.485249,5.879376,2.009812,1.696866,2.990631,1.886959,2.652666,3.615931,2.131242,2.901892,zero 
5.784252,7.751586,9.313381,8.782932,9.208882,8.049861,9.220712,8.944786,8.879345,8.821022,1.347270,7.294615,1.854277,2.467921,3.716517,2.635878,3.220134,4.093757,2.860445,3.678879,zero 
5.724390,8.092654,8.224767,7.603679,8.785464,7.559109,8.449674,8.341344,8.003802,8.531912,1.337096,6.360066,2.492859,2.174414,2.882122,2.620704,3.599950,3.251872,2.441446,2.574010,zero 
7.328819,6.254829,8.096072,8.790291,8.366379,7.877901,8.264642,7.763056,8.400868,8.036093,1.823177,7.000082,3.310381,4.125324,3.220342,3.668868,2.710881,3.439918,4.235669,3.389909,zero 
6.865268,8.054802,8.494967,8.167808,8.274345,7.290822,8.975800,7.854648,7.963639,7.765667,1.926100,6.193960,3.171523,3.300846,4.319068,3.126800,3.054232,4.569469,3.279530,4.350943,zero 
6.324188,8.627892,8.861433,9.250228,9.510791,8.366469,8.854984,8.515390,9.012541,9.000793,1.725179,6.432041,2.524724,2.285768,3.415759,2.279626,3.059915,5.042063,3.169529,3.904953,zero 
5.335566,7.362214,7.923690,7.406143,7.864144,6.646045,7.960580,7.565811,7.549579,7.729361,1.174417,5.623342,1.819763,1.870489,3.234000,2.378573,2.701281,4.036151,2.509069,2.947737,zero 
7.667816,9.313323,9.387567,8.133238,8.791467,7.859342,8.329650,8.925622,8.047356,8.045943,2.439288,5.466818,2.805498,2.043350,2.598816,2.454644,4.185110,2.958427,2.183542,2.780867,zero 
7.251344,7.942388,7.183392,6.871648,6.675400,6.018900,6.610467,6.408443,6.600428,5.901955,1.702341,2.975139,2.099208,1.687792,2.456249,2.240793,3.252340,2.692633,1.623357,2.691365,zero 
6.557934,7.895090,8.227171,8.232625,8.341856,7.724655,8.292114,8.150509,8.124624,7.996330,1.398088,5.914657,2.661757,2.010922,3.088912,2.100470,3.338903,3.188903,2.049998,2.792955,zero 
8.957714,6.906058,8.363045,9.283892,9.187939,9.493335,8.474535,9.032996,9.124928,8.535606,2.352113,7.644849,3.290087,3.055512,3.048061,2.903460,3.053613,3.791909,2.948946,4.285126,zero 
7.100120,9.579595,9.893492,9.560962,10.397687,9.085651,10.514626,10.122705,9.431377,10.165057,1.791411,7.004951,2.619842,2.735520,3.325025,2.785164,3.954328,3.768046,2.724672,3.141511,zero 
6.498355,7.553035,9.112401,9.617837,9.387688,8.051376,8.394292,8.902621,8.757044,9.122012,1.573767,7.386050,2.033805,2.879251,2.802441,3.363720,3.207512,3.500126,4.060202,2.922308,zero 
6.847719,8.186096,9.383691,9.106236,9.663152,8.637757,10.316557,9.017211,9.202651,9.172798,1.375650,7.385208,2.767931,3.393234,3.985364,3.061029,2.968049,4.099734,3.093340,4.052063,zero 
7.076544,7.068067,8.818822,8.696002,8.753182,7.504631,8.422085,8.561930,8.495295,8.800864,1.388628,7.132407,2.008110,3.055422,3.536906,3.528628,3.700756,4.008852,3.671379,3.596772,zero 
7.527928,8.230979,9.977198,10.502485,9.879500,9.165092,9.404618,9.616399,9.747780,9.974694,1.800613,8.444982,2.580847,3.261650,3.077957,3.739341,3.560353,3.755646,4.073237,3.329664,zero 
6.268331,7.226145,7.399793,7.005187,7.034394,5.738667,6.725499,7.059770,6.791839,6.865037,1.495877,4.846734,2.461347,2.119968,2.590329,2.715169,3.576140,3.233978,1.923284,2.647646,zero 
7.019246,7.057679,7.870750,8.079527,9.023873,8.070319,8.494401,8.188552,8.234899,8.531338,1.949539,6.567133,2.664273,3.024247,3.484719,2.808905,3.616653,4.168965,3.729170,3.979761,zero 
8.539040,6.236005,9.320761,10.033978,8.428352,8.739229,8.579993,9.151112,9.149530,9.074890,2.285974,8.199663,2.634746,3.506955,2.929024,4.160497,3.398417,3.003457,4.249528,3.152178,zero 
5.604341,8.651720,8.726338,8.652544,9.081226,7.688053,8.492275,9.130780,8.353366,8.834122,1.761190,6.060734,2.129793,2.458728,3.136619,2.794334,2.787013,3.735226,2.446194,3.146490,zero 
7.274875,6.255584,7.505097,7.313043,7.891092,7.143231,8.154041,8.089321,7.908703,8.565534,1.780326,6.005753,2.885385,2.944619,3.543878,2.914529,2.748787,3.645844,3.160247,3.254565,zero 
6.022357,7.533775,7.506965,7.420005,7.885222,6.910936,7.433145,7.673950,7.523789,7.874939,1.298269,5.484949,2.361668,2.020594,3.118175,2.427071,2.828304,3.816869,2.221617,3.177873,zero 
7.065789,7.625118,8.212011,8.222603,8.550961,8.148187,9.173916,8.543267,8.261852,8.749457,1.600184,6.305755,2.768812,2.399625,3.283127,2.402645,3.306299,3.537639,2.641948,2.894959,zero 
6.469327,9.023007,8.976264,8.944258,9.092689,7.993801,8.835263,9.316044,8.592407,8.829029,1.580378,6.215050,2.473998,2.991599,3.619836,3.115966,2.753649,4.278207,2.901177,3.975884,zero 
8.211611,7.940449,9.814640,9.072022,10.026902,9.051949,10.087005,9.830782,9.707946,10.356338,1.653834,8.111385,2.576625,3.485353,4.193324,3.696082,4.193377,5.044498,3.943876,4.556029,zero 
6.661114,9.092394,8.536482,7.681521,8.868357,7.811759,8.078677,8.527596,7.937646,8.248851,1.463379,5.459767,2.239221,1.888175,2.734317,2.111982,2.988804,2.838983,2.007330,2.820966,zero 
5.807683,7.873972,8.902296,8.623716,8.789775,7.806703,8.785978,8.048470,8.507628,8.588784,1.646732,6.726207,2.170563,2.574914,3.430695,2.782574,3.158157,4.552767,3.249417,3.328090,zero 
6.039383,8.678047,8.993544,8.557934,8.906066,7.523896,8.723998,8.797707,8.230029,8.578463,1.152011,5.845489,2.349816,2.150108,2.972334,2.449435,3.257716,3.245507,2.329452,2.592695,zero 
6.914183,9.166714,8.597539,8.613952,8.740017,7.623185,8.225331,8.472933,8.452824,8.481582,1.539502,5.256903,2.229077,1.980626,2.899248,2.901057,3.805878,3.264323,1.904559,3.042981,zero 
6.481697,9.610618,9.861401,9.308315,9.921223,8.387603,9.700468,10.170498,9.069341,9.782174,1.487639,6.722775,2.604990,3.141639,3.327105,3.015644,3.813279,3.635874,2.813867,3.162902,zero 
5.654219,9.380634,9.788741,9.136507,9.935821,8.521901,9.776920,9.460839,9.000222,9.676876,1.379111,6.901460,2.265834,2.372456,3.108281,2.439745,3.662461,3.665406,2.825931,2.704542,zero 
6.225387,9.000002,8.636052,8.304520,8.469780,7.973583,8.649410,8.733279,8.263065,8.385370,1.435879,6.167939,2.123433,1.818099,2.698814,2.168999,3.333266,3.032807,2.227322,2.405748,zero 
5.779957,8.137185,7.885010,7.659476,8.056822,6.814446,6.843564,7.823636,7.639894,7.637861,1.267274,5.576575,1.905903,1.970308,2.614962,2.591892,2.576403,3.606613,2.037909,2.979382,zero 
6.630340,8.850539,9.616920,8.775032,9.427817,8.008471,8.997922,9.493110,9.353826,9.568468,1.592649,6.258711,1.995629,2.484677,3.384320,2.817893,3.279313,4.615581,2.459069,3.796427,zero 
6.817206,9.372328,9.466836,10.203090,9.717505,8.888335,8.981682,9.385215,9.581301,9.780388,1.426046,7.192766,1.738501,2.190777,3.318122,3.091825,3.319716,4.421429,2.732510,3.195091,zero 
6.290253,8.579939,9.519297,9.764322,9.677918,8.662110,9.286680,9.452492,9.639558,9.610664,1.718304,8.079906,2.623195,3.757024,3.248902,3.632672,2.885425,3.710782,2.886540,3.370207,zero 
6.938280,6.953672,6.695345,6.676219,6.452703,5.913394,6.149528,5.929745,6.753237,5.827098,1.309958,3.813369,1.676217,1.786453,2.723591,2.286447,2.931210,3.231214,1.798788,2.899673,zero 
6.199111,10.061126,8.988438,8.967329,9.539221,8.658300,8.389213,9.449754,8.979146,9.234108,1.538348,6.150112,2.167585,2.183595,3.034304,2.326419,2.605775,4.079852,2.519757,3.274636,zero 
6.789956,8.115103,8.165010,8.432933,8.512833,7.825841,7.673412,8.706715,8.032063,8.294949,1.638960,6.030917,2.301259,2.190615,3.024780,2.456127,2.884404,3.370782,2.404472,3.120689,zero 
6.433541,8.424301,7.477624,7.131686,7.341085,6.413518,6.903182,7.040192,7.199527,6.702598,1.351493,4.140449,1.666073,1.630502,2.779056,2.317211,2.695069,3.607343,1.521189,3.113668,zero 
7.098693,9.774214,9.424451,9.277511,10.039488,9.062734,8.788849,9.759296,9.343451,9.826821,2.419445,6.513514,2.598744,3.198136,3.669404,3.126940,3.693704,4.473894,2.575775,3.793448,zero 
6.344759,7.397944,7.204973,7.435419,7.399802,6.717696,5.778989,7.569401,7.490038,7.366793,1.598648,5.107832,2.115559,2.301743,2.971838,2.458302,2.329797,3.972558,2.315733,3.297452,zero 
6.769156,8.345042,8.033234,7.748024,8.004783,6.765958,7.741831,7.683546,7.875011,7.818831,1.338766,4.536923,1.887306,1.757357,2.746425,2.588991,3.606472,3.460767,1.550669,2.846551,zero 
5.559998,8.124790,8.320312,8.261763,8.887944,7.581908,8.743498,8.826233,8.098928,8.735441,1.312904,6.144465,2.167597,2.109272,3.080754,2.513817,2.630922,3.567331,2.425259,2.959163,zero 
5.607998,9.145704,9.636051,9.160265,9.563811,8.350799,9.395221,9.398380,8.963599,9.262306,1.517319,6.926567,2.468242,2.759624,3.184740,2.697228,2.839883,3.291751,2.830823,2.937098,zero 
6.997743,9.612779,10.782786,10.039711,11.212816,9.602518,10.610003,10.930142,9.976545,10.983134,2.239367,8.034511,3.062865,3.304566,3.467091,2.963770,4.006856,3.642821,3.246056,3.304042,zero 
7.221590,7.008905,8.791902,7.653888,8.662804,7.167844,8.903903,8.764064,8.186748,8.329957,1.859581,6.771296,3.563374,4.193356,4.412437,3.780268,3.703415,4.812395,3.208537,4.783152,zero 
6.787852,7.365525,7.606348,8.312768,8.188073,7.780833,7.914996,8.118830,8.261221,8.713110,1.314363,6.761841,2.106663,2.016482,3.072785,2.946452,2.962010,4.086062,2.877894,3.403824,zero 
6.193027,8.101767,8.779961,8.836873,9.416292,8.282679,9.383375,9.257360,8.902047,9.266714,1.426600,7.069756,2.272214,2.856747,3.551782,2.816036,2.610044,4.195518,2.816409,3.742286,zero 
7.448714,7.584068,9.517505,8.060928,9.077737,7.398768,8.917337,8.713478,8.054007,8.447001,1.414326,6.281639,2.548384,2.885519,3.553931,3.153787,4.406579,4.029370,3.228666,3.754303,zero 
7.290326,8.121232,8.526726,7.710672,8.850786,7.427314,8.109994,8.951943,7.933105,8.614397,1.879730,5.392677,2.467799,2.139401,3.549122,2.988401,4.359229,3.862160,1.944048,3.762273,zero 
6.317668,7.036465,7.879998,7.964655,8.164604,7.264366,8.543434,8.019829,7.815032,8.043146,1.561788,6.150746,2.778211,2.464447,3.614902,2.782001,3.003687,4.241261,2.861548,3.813288,zero 
7.486756,8.693380,7.723759,7.955957,8.090684,7.247787,7.426189,7.721020,7.498288,7.608097,1.481027,4.208002,1.754744,1.876165,2.643546,2.684735,2.696005,3.622416,1.761606,3.107849,zero 
7.990223,5.706614,8.374441,8.238301,7.693043,6.979709,7.474310,7.898441,8.538902,8.069915,1.928567,6.414628,1.986546,3.366067,3.155839,3.618409,3.697657,3.563080,3.364481,3.790341,zero 
5.751008,7.939574,7.979227,7.720755,7.620676,6.277146,7.276577,7.907342,7.461835,7.551386,1.367615,5.402882,2.160108,1.917614,2.581549,2.909560,3.445404,2.921872,1.852718,2.649239,zero 
6.547773,7.792833,9.133816,9.100797,8.395796,7.622079,8.324543,8.507122,9.008812,8.135740,1.560616,6.938295,2.662525,3.556778,4.203535,3.422902,3.113472,4.046848,3.457380,4.475247,zero 
7.771285,7.527460,9.556746,10.487149,9.238876,9.102827,8.674622,9.390485,9.572691,9.311050,2.075463,8.148152,2.702358,3.590600,2.962506,3.806425,3.138620,3.115695,3.874123,3.482307,zero 
6.858851,8.697437,9.547009,9.070923,10.121941,8.890232,9.895140,9.695761,9.418450,10.433906,1.780840,7.424433,2.386765,2.994835,3.542800,3.077414,3.690995,4.735949,3.480448,3.575311,zero 
6.133111,6.760868,7.393649,6.579047,7.324541,5.817565,7.400114,6.820650,6.844526,6.960043,1.378537,4.462260,2.416383,2.286327,2.828385,2.478130,3.145627,2.955532,2.118672,2.581789,zero 
6.322674,7.536715,8.841633,8.208426,8.214896,7.154982,8.227039,7.934656,8.622607,8.148961,1.401361,5.943701,2.141841,2.518335,3.638339,2.623898,3.371667,4.500176,2.591187,4.068295,zero 
6.093288,6.888838,7.727556,7.380634,7.478422,6.601117,8.308031,7.337739,7.348411,7.555414,1.240719,5.488984,2.357116,2.388708,3.499177,2.582277,2.565898,4.186733,2.897244,3.375823,zero 
5.927729,6.881114,7.411789,7.109973,6.934977,6.307875,7.173889,7.061479,7.234527,6.867130,1.018700,5.528845,1.811446,1.726149,2.849415,2.482611,2.712672,3.200921,2.179044,2.741267,zero 
7.267245,8.619088,10.134610,9.114905,9.770769,8.855292,10.077135,8.835513,8.884578,9.111618,1.511480,7.167736,2.483382,2.471017,3.697345,2.886522,4.597901,4.363655,3.947085,4.008924,zero 
8.654692,10.443321,10.185749,11.257960,10.319069,10.452107,9.956950,10.569556,9.951907,10.467227,1.949422,7.835888,2.190180,2.565340,3.160416,2.895237,3.388413,4.215200,3.236992,3.185234,zero 
6.156641,8.847497,9.151194,8.911740,9.990463,8.655276,9.362809,10.160828,9.438133,10.301478,1.589545,7.511529,2.269572,2.861585,3.199296,3.085274,2.953029,3.713580,2.511081,2.883767,zero 
7.598808,7.652809,8.690816,8.837138,9.532459,8.987816,10.018057,9.303922,9.348041,9.767909,1.524278,7.293171,2.511275,2.348653,3.504990,2.429371,2.936355,4.162430,2.616368,3.816301,zero 
6.601616,7.651542,7.263104,6.949648,6.843962,6.003474,6.704665,6.281000,6.796695,6.071924,1.357504,4.453902,2.127581,1.833231,2.480234,2.549733,3.375017,2.816829,1.587219,2.428097,zero 
7.040194,8.219104,9.539455,8.544137,9.037503,7.361730,8.688559,9.245290,8.979241,9.004504,1.590035,6.422229,2.548523,3.562292,3.971796,3.254713,3.572222,4.875685,2.777967,4.280568,zero 
6.034011,8.396362,8.656848,8.507130,8.743266,7.928026,8.525737,8.894873,8.552072,8.863567,1.343960,6.545658,2.171559,2.115326,3.128415,2.569923,2.953636,3.653135,2.294619,3.037783,zero 
5.910106,7.137794,7.922075,7.818112,7.816393,6.284010,7.094372,7.623122,7.712755,7.720563,1.501503,5.286454,1.889211,2.303535,2.815791,2.947790,2.639140,4.213854,2.513386,3.538941,zero 
7.165964,9.124161,9.454060,9.088979,9.710504,8.501478,8.859475,9.613042,9.405135,9.834905,1.604426,6.327464,2.053165,2.446807,3.697121,3.069043,3.744222,4.758839,2.452926,3.820746,zero 
6.413045,6.891441,7.189861,6.910312,6.736237,5.891807,6.546763,6.983392,6.639033,6.550228,1.120059,4.648143,2.208610,1.740890,2.641789,2.224012,2.920721,2.625304,1.893020,2.592122,zero 
5.702542,7.460712,7.701403,7.545683,7.932227,6.809583,8.012647,7.991858,7.590120,7.928921,1.072246,5.398168,2.225942,1.964039,3.359693,2.310806,2.409888,3.918704,2.249432,3.141613,zero 
7.866206,8.627954,9.323528,9.332022,10.074837,9.548335,10.598695,9.790784,9.465600,10.167539,1.352109,7.404494,2.662380,2.581223,3.209955,2.459435,3.322293,3.674321,2.715362,3.047517,zero 
7.732008,7.956659,9.315120,9.656329,9.127024,9.043011,8.935369,8.503718,9.131996,8.661874,2.162289,7.373852,2.969662,3.134598,3.488843,2.866086,3.069072,4.508867,2.769956,4.068174,zero 
